,30,60,90,180,360,data
203,-0.005760368664,0,-0.01511335013,-0.006053268765,0,2017-08-23
204,0,-0.01180637544,-0.006393861893,-0.004872107186,0,2017-08-24
205,0,-0.003584229391,-0.005148005148,-0.00611995104,-0.02551020408,2017-08-25
206,0,0,0,0,0,2017-08-26
207,0,0,0,0,0,2017-08-27
208,-0.01390498262,-0.005995203837,0,0,-0.001308900524,2017-08-28
209,-0.004700352526,0,0,-0.009852216749,-0.005242463958,2017-08-29
210,-0.003541912633,0,-0.01293661061,-0.004975124378,0,2017-08-30
211,0,-0.008443908323,0,-0.00125,0,2017-08-31
212,0,-0.003649635036,-0.00131061599,-0.003754693367,0.00395256917,2017-09-01
213,0,0,0,0,0,2017-09-02
214,0,0,0,0,0,2017-09-03
215,-0.01777251185,-0.003663003663,0,0,0.002624671916,2017-09-04
216,-0.007237635706,0,0,-0.008793969849,-0.002617801047,2017-09-05
217,-0.008505467801,0,-0.01706036745,-0.01013941698,0,2017-09-06
218,0,0,0,0,0,2017-09-07
219,0,-0.01715686275,-0.005340453939,-0.002560819462,-0.02362204724,2017-09-08
220,0,0,0,0,0,2017-09-09
221,0,0,0,0,0,2017-09-10
222,-0.007352941176,-0.006234413965,0,0,0.006720430108,2017-09-11
223,0,0,0,-0.003851091142,0,2017-09-12
224,-0.001234567901,0,-0.005369127517,-0.002577319588,0,2017-09-13
225,0,-0.003764115433,-0.005398110661,-0.003875968992,0,2017-09-14
226,0,-0.003778337531,-0.001356852103,-0.001297016861,-0.0173564753,2017-09-15
227,0,0,0,0,0,2017-09-16
228,0,0,0,0,0,2017-09-17
229,-0.003708281829,-0.001264222503,0,0,-0.006793478261,2017-09-18
230,0,0,0,-0.005194805195,-0.008207934337,2017-09-19
231,-0.001240694789,0,-0.005434782609,-0.001305483029,0,2017-09-20
232,0,-0.005063291139,-0.005464480874,-0.003921568627,0,2017-09-21
233,0,-0.002544529262,-0.004120879121,-0.002624671916,-0.0124137931,2017-09-22
234,0,0,0,0,0,2017-09-23
235,0,0,0,0,0,2017-09-24
236,-0.003726708075,-0.00637755102,0,0,0.001396648045,2017-09-25
237,0,0,0,0,-0.005578800558,2017-09-26
238,-0.001246882793,0,-0.00275862069,-0.005263157895,0,2017-09-27
239,0,-0.003851091142,-0.001383125864,-0.001322751323,0,2017-09-28
240,0,-0.001288659794,-0.004155124654,-0.002649006623,0,2017-09-29
241,0,0,0,0,0,2017-09-30
242,0,0,0,0,0,2017-10-01
243,0,-0.005161290323,0,0,-0.004207573633,2017-10-02
244,0,0,0,0,0.007042253521,2017-10-03
245,-0.006242197253,0,-0.004172461752,-0.00796812749,0,2017-10-04
246,0,-0.006485084306,0,-0.002677376171,0,2017-10-05
247,0,-0.003916449086,-0.001396648045,-0.004026845638,0.002797202797,2017-10-06
248,0,0,0,0,0,2017-10-07
249,0,0,0,0,0,2017-10-08
250,-0.01381909548,-0.006553079948,0,0,0.002789400279,2017-10-09
251,-0.005095541401,0,0,-0.004043126685,-0.005563282337,2017-10-10
252,-0.005121638924,0,-0.005594405594,-0.002706359946,0,2017-10-11
253,0,0,0,0,0,2017-10-12
254,0,-0.009234828496,-0.004219409283,-0.004070556309,-0.005594405594,2017-10-13
255,0,0,0,0,0,2017-10-14
256,0,0,0,0,0,2017-10-15
257,0,-0.005326231691,0,0,0.004219409283,2017-10-16
258,-0.01415701416,0,0,-0.00408719346,0,2017-10-17
259,-0.005221932115,0,-0.004237288136,-0.004103967168,0,2017-10-18
260,0,-0.01070950469,-0.002836879433,-0.002747252747,0,2017-10-19
261,0,-0.004059539919,0,-0.002754820937,-0.005602240896,2017-10-20
262,0,0,0,0,0,2017-10-21
263,0,0,0,0,0,2017-10-22
264,-0.01443569554,-0.005434782609,0,0,0.001408450704,2017-10-23
265,-0.005326231691,0,0,-0.005524861878,0.002812939522,2017-10-24
266,-0.005354752343,0,-0.001422475107,-0.001388888889,0,2017-10-25
267,0,0,0.004273504274,-0.004172461752,0,2017-10-26
268,0,-0.00956284153,-0.001418439716,0,0.002805049088,2017-10-27
269,0,0,0,0,0,2017-10-28
270,0,0,0,0,0,2017-10-29
271,-0.005383580081,-0.00275862069,0,0,0.005594405594,2017-10-30
272,0,0,0,-0.004189944134,-0.006954102921,2017-10-31
273,0,0,-0.008522727273,0,0,2017-11-01
274,0,0,0,0,0,2017-11-02
275,0,-0.001383125864,0.002865329513,-0.001402524544,0.002801120448,2017-11-03
276,0,0,0,0,0,2017-11-04
277,0,0,0,0,0,2017-11-05
278,-0.006765899865,-0.004155124654,0,0,0.001396648045,2017-11-06
279,-0.00272479564,0,0,-0.001404494382,0,2017-11-07
280,-0.001366120219,0,-0.002857142857,-0.004219409283,0,2017-11-08
281,0,-0.004172461752,-0.001432664756,0,0,2017-11-09
282,0,-0.001396648045,-0.00143472023,-0.001412429379,-0.005578800558,2017-11-10
283,0,0,0,0,0,2017-11-11
284,0,0,0,0,0,2017-11-12
285,-0.008207934337,-0.002797202797,0,0,0,2017-11-13
286,-0.001379310345,0,0,0,0.001402524544,2017-11-14
287,0,0,0,0,0,2017-11-15
288,0,-0.002805049088,-0.001436781609,-0.004243281471,0,2017-11-16
289,0,-0.002812939522,-0.002877697842,-0.001420454545,-0.00700280112,2017-11-17
290,0,0,0,0,0,2017-11-18
291,0,0,0,0,0,2017-11-19
292,0,0,0,0,0,2017-11-20
293,-0.0138121547,0,0,-0.002844950213,-0.001410437236,2017-11-21
294,-0.001400560224,0,-0.005772005772,-0.002853067047,0,2017-11-22
295,0,-0.009873060649,-0.00435413643,-0.004291845494,0,2017-11-23
296,0,-0.001424501425,0,0,-0.008474576271,2017-11-24
297,0,0,0,0,0,2017-11-25
298,0,0,0,0,0,2017-11-26
299,-0.008415147265,-0.002853067047,0,0,-0.001424501425,2017-11-27
300,-0.002828854314,0,0,-0.002873563218,-0.002853067047,2017-11-28
301,-0.001418439716,0,-0.004373177843,-0.00288184438,0,2017-11-29
302,0,-0.004291845494,0.001464128843,-0.001445086705,0,2017-11-30
303,0,-0.001436781609,0,-0.001447178003,0.002861230329,2017-12-01
304,0,0,0,0,0,2017-12-02
305,0,0,0,0,0,2017-12-03
306,-0.008522727273,-0.002877697842,0,0,-0.002853067047,2017-12-04
307,-0.004297994269,0,0,-0.004347826087,-0.004291845494,2017-12-05
308,-0.004316546763,0,-0.005847953216,-0.002911208151,0,2017-12-06
309,0,-0.005772005772,-0.002941176471,-0.001459854015,0,2017-12-07
310,0,-0.00145137881,-0.002949852507,-0.001461988304,-0.002873563218,2017-12-08
311,0,0,0,0,0,2017-12-09
312,0,0,0,0,0,2017-12-10
313,-0.004335260116,0,0,0,-0.00144092219,2017-12-11
314,0,0,0,0,-0.001443001443,2017-12-12
315,0,0,-0.002958579882,-0.001464128843,0,2017-12-13
316,0,0,0,0,0,2017-12-14
317,0,0,-0.001483679525,0,-0.005780346821,2017-12-15
318,0,0,0,0,0,2017-12-16
319,0,0,0,0,0,2017-12-17
320,0,-0.002906976744,0,0,0,2017-12-18
321,0,0,0,-0.00293255132,0,2017-12-19
322,0,0,-0.004457652303,0,0,2017-12-20
323,0,-0.001457725948,0.001492537313,-0.001470588235,0,2017-12-21
324,0,0,-0.001490312966,-0.00147275405,-0.001453488372,2017-12-22
325,0,0,0,0,0,2017-12-23
326,0,0,0,0,0,2017-12-24
327,0,0,0,0,0,2017-12-25
328,0,0,0,-0.001474926254,-0.002911208151,2017-12-26
329,0.00145137881,0,-0.002985074627,0,0,2017-12-27
330,0,-0.002919708029,-0.001497005988,0,0,2017-12-28
331,0,0,0,0,0,2017-12-29
332,0,0,0,0,0,2017-12-30
333,0,0,0,0,0,2017-12-31
334,0,0,0,0,0,2018-01-01
335,0,0,0,-0.004431314623,-0.007299270073,2018-01-02
336,-0.001449275362,0,-0.005997001499,-0.00296735905,0,2018-01-03
337,0,-0.005856515373,-0.001508295626,0,0,2018-01-04
338,0,0,0.001510574018,0.001488095238,-0.001470588235,2018-01-05
339,0,0,0,0,0,2018-01-06
340,0,0,0,0,0,2018-01-07
341,-0.00435413643,-0.0029455081,0,0,0.0029455081,2018-01-08
342,-0.001457725948,0,0,-0.002971768202,0.001468428781,2018-01-09
343,0.002919708029,0,0.006033182504,0.001490312966,0,2018-01-10
344,0,0.001477104874,0.004497751124,0.002976190476,0,2018-01-11
345,0,0,0.00447761194,0.001483679525,0.01759530792,2018-01-12
346,0,0,0,0,0,2018-01-13
347,0,0,0,0,0,2018-01-14
348,-0.005822416303,-0.001474926254,0,0,-0.00288184438,2018-01-15
349,-0.001464128843,0,0,-0.001481481481,0.001445086705,2018-01-16
350,0,0,-0.002971768202,-0.001483679525,0,2018-01-17
351,0,-0.001477104874,0,0,0,2018-01-18
352,0,0,0,0,0.002886002886,2018-01-19
353,0,0,0,0,0,2018-01-20
354,0,0,0,0,0,2018-01-21
355,-0.005865102639,-0.001479289941,0,0,0.002877697842,2018-01-22
356,0,0,0,-0.002971768202,-0.002869440459,2018-01-23
357,-0.001474926254,0,-0.008941877794,-0.005961251863,0,2018-01-24
358,0,0,0,0,0,2018-01-25
359,0,-0.007407407407,-0.004511278195,0,-0.01582733813,2018-01-26
360,0,0,0,0,0,2018-01-27
361,0,0,0,0,0,2018-01-28
362,-0.002954209749,0,0,0,0.002923976608,2018-01-29
363,-0.002962962963,0,0,-0.001499250375,0.004373177843,2018-01-30
364,-0.001485884101,0,0,0,0,2018-01-31
365,0,-0.00447761194,0,-0.004504504505,0,2018-02-01
366,0,-0.001499250375,0,0,0.00435413643,2018-02-02
367,0,0,0,0,0,2018-02-03
368,0,0,0,0,0,2018-02-04
369,-0.005952380952,-0.003003003003,0,0,0.001445086705,2018-02-05
370,-0.002994011976,0,0,0.001508295626,0.001443001443,2018-02-06
371,-0.001501501502,0,0,-0.004518072289,0,2018-02-07
372,0,0,0,0,0,2018-02-08
373,0,-0.003012048193,-0.004531722054,-0.001512859304,-0.01585014409,2018-02-09
374,0,0,0,0,0,2018-02-10
375,0,0,0,0,0,2018-02-11
376,0,0,0,0,0,2018-02-12
377,0,0,0,0,0,2018-02-13
378,0,0,0,0,0,2018-02-14
379,0,-0.004531722054,-0.006069802731,-0.004545454545,0,2018-02-15
380,0,-0.001517450683,0,-0.001522070015,-0.01610541728,2018-02-16
381,0,0,0,0,0,2018-02-17
382,0,0,0,0,0,2018-02-18
383,-0.004511278195,0,0,0,-0.004464285714,2018-02-19
384,-0.001510574018,0,0,-0.003048780488,-0.001494768311,2018-02-20
385,0,0,-0.006106870229,-0.003058103976,0,2018-02-21
386,0,-0.001519756839,0.003072196621,0.003067484663,0,2018-02-22
387,0,-0.001522070015,-0.004594180704,-0.001529051988,-0.001497005988,2018-02-23
388,0,0,0,0,0,2018-02-24
389,0,0,0,0,0,2018-02-25
390,-0.001512859304,0,0,0,0.00299850075,2018-02-26
391,0.001515151515,0,0,0.003062787136,0.001494768311,2018-02-27
392,0,0,0.001538461538,-0.001526717557,0,2018-02-28
393,0,-0.003048780488,0,-0.004587155963,0,2018-03-01
394,0,0,-0.004608294931,0,-0.01343283582,2018-03-02
395,0,0,0,0,0,2018-03-03
396,0,0,0,0,0,2018-03-04
397,-0.00756429652,-0.006116207951,0,0,-0.00756429652,2018-03-05
398,-0.001524390244,0,0,-0.007680491551,0,2018-03-06
399,-0.001526717557,0,-0.007716049383,-0.001547987616,0,2018-03-07
400,0,-0.003076923077,0,0,0,2018-03-08
401,0,0,-0.001555209953,0,0,2018-03-09
402,0,0,0,0,0,2018-03-10
403,0,0,0,0,0,2018-03-11
404,-0.004587155963,-0.003086419753,0,0,-0.003048780488,2018-03-12
405,-0.00153609831,0,0,0,0.003058103976,2018-03-13
406,-0.001538461538,0,-0.001557632399,0,0,2018-03-14
407,0,0,0.003120124805,-0.001550387597,0,2018-03-15
408,0,0,-0.001555209953,0,0.003048780488,2018-03-16
409,0,0,0,0,0,2018-03-17
410,0,0,0,0,0,2018-03-18
